#At time x process y state arr w toal z remain y wait k
At time 5 process 1 started arr 5 total 3 remain 3 wait 0
At time 6 process 1 stopped arr 5 total 3 remain 2 wait 0
At time 6 process 2 started arr 5 total 22 remain 22 wait 1
At time 7 process 2 stopped arr 5 total 22 remain 21 wait 1
At time 7 process 3 started arr 6 total 5 remain 5 wait 1
At time 8 process 3 stopped arr 6 total 5 remain 4 wait 1
At time 8 process 1 resumed arr 5 total 3 remain 2 wait 2
At time 9 process 1 stopped arr 5 total 3 remain 1 wait 2
At time 9 process 4 started arr 7 total 3 remain 3 wait 2
At time 10 process 4 stopped arr 7 total 3 remain 2 wait 2
At time 10 process 2 resumed arr 5 total 22 remain 21 wait 4
At time 11 process 2 stopped arr 5 total 22 remain 20 wait 4
At time 11 process 5 started arr 8 total 20 remain 20 wait 3
At time 12 process 5 stopped arr 8 total 20 remain 19 wait 3
At time 12 process 3 resumed arr 6 total 5 remain 4 wait 5
At time 13 process 3 stopped arr 6 total 5 remain 3 wait 5
At time 13 process 6 started arr 8 total 5 remain 5 wait 5
At time 14 process 6 stopped arr 8 total 5 remain 4 wait 5
At time 14 process 1 resumed arr 5 total 3 remain 1 wait 7
At time 15 process 1 finished arr 5 total 3 remain 0 wait 7 TA 10 WTA 3.33
At time 15 process 4 resumed arr 7 total 3 remain 2 wait 7
At time 16 process 4 stopped arr 7 total 3 remain 1 wait 7
At time 16 process 2 resumed arr 5 total 22 remain 20 wait 9
At time 17 process 2 stopped arr 5 total 22 remain 19 wait 9
At time 17 process 5 resumed arr 8 total 20 remain 19 wait 8
At time 18 process 5 stopped arr 8 total 20 remain 18 wait 8
At time 18 process 3 resumed arr 6 total 5 remain 3 wait 10
At time 19 process 3 stopped arr 6 total 5 remain 2 wait 10
At time 19 process 6 resumed arr 8 total 5 remain 4 wait 10
At time 20 process 6 stopped arr 8 total 5 remain 3 wait 10
At time 20 process 4 resumed arr 7 total 3 remain 1 wait 11
At time 21 process 4 finished arr 7 total 3 remain 0 wait 11 TA 14 WTA 4.67
At time 21 process 2 resumed arr 5 total 22 remain 19 wait 13
At time 22 process 2 stopped arr 5 total 22 remain 18 wait 13
At time 22 process 5 resumed arr 8 total 20 remain 18 wait 12
At time 23 process 5 stopped arr 8 total 20 remain 17 wait 12
At time 23 process 3 resumed arr 6 total 5 remain 2 wait 14
At time 24 process 3 stopped arr 6 total 5 remain 1 wait 14
At time 24 process 6 resumed arr 8 total 5 remain 3 wait 14
At time 25 process 6 stopped arr 8 total 5 remain 2 wait 14
At time 25 process 2 resumed arr 5 total 22 remain 18 wait 16
At time 26 process 2 stopped arr 5 total 22 remain 17 wait 16
At time 26 process 5 resumed arr 8 total 20 remain 17 wait 15
At time 27 process 5 stopped arr 8 total 20 remain 16 wait 15
At time 27 process 3 resumed arr 6 total 5 remain 1 wait 17
At time 28 process 3 finished arr 6 total 5 remain 0 wait 17 TA 22 WTA 4.40
At time 28 process 6 resumed arr 8 total 5 remain 2 wait 17
At time 29 process 6 stopped arr 8 total 5 remain 1 wait 17
At time 29 process 2 resumed arr 5 total 22 remain 17 wait 19
At time 30 process 2 stopped arr 5 total 22 remain 16 wait 19
At time 30 process 5 resumed arr 8 total 20 remain 16 wait 18
