#At time x allocated y bytes for process z from i to j
At time 5 allocated 100 bytes for process 1 from 0 to 127
At time 8 freed 100 bytes for process 1 from 0 to 127
At time 8 allocated 110 bytes for process 4 from 0 to 127
At time 11 freed 110 bytes for process 4 from 0 to 127
At time 11 allocated 150 bytes for process 3 from 0 to 255
At time 16 freed 150 bytes for process 3 from 0 to 255
At time 16 allocated 60 bytes for process 6 from 0 to 63
At time 21 freed 60 bytes for process 6 from 0 to 63
At time 21 allocated 3 bytes for process 5 from 0 to 3
At time 41 freed 3 bytes for process 5 from 0 to 3
At time 41 allocated 200 bytes for process 2 from 0 to 255
At time 63 freed 200 bytes for process 2 from 0 to 255
