#At time x process y state arr w toal z remain y wait k
At time 8 process 1 started arr 8 total 0 remain 0 wait 0
At time 8 process 1 finished arr 8 total 0 remain 0 wait 0 TA 0 WTA 0.00
At time 13 process 2 started arr 13 total 27 remain 27 wait 0
At time 19 process 2 stopped arr 13 total 27 remain 21 wait 0
At time 19 process 3 started arr 16 total 25 remain 25 wait 3
At time 22 process 3 stopped arr 16 total 25 remain 22 wait 3
At time 22 process 4 started arr 17 total 22 remain 22 wait 5
At time 25 process 4 stopped arr 17 total 22 remain 19 wait 5
At time 25 process 2 resumed arr 13 total 27 remain 21 wait 6
At time 28 process 2 stopped arr 13 total 27 remain 18 wait 6
At time 28 process 5 started arr 21 total 15 remain 15 wait 7
At time 31 process 5 stopped arr 21 total 15 remain 12 wait 7
At time 31 process 3 resumed arr 16 total 25 remain 22 wait 12
At time 34 process 3 stopped arr 16 total 25 remain 19 wait 12
At time 34 process 4 resumed arr 17 total 22 remain 19 wait 14
At time 37 process 4 stopped arr 17 total 22 remain 16 wait 14
At time 37 process 2 resumed arr 13 total 27 remain 18 wait 15
At time 40 process 2 stopped arr 13 total 27 remain 15 wait 15
At time 40 process 5 resumed arr 21 total 15 remain 12 wait 16
At time 43 process 5 stopped arr 21 total 15 remain 9 wait 16
At time 43 process 3 resumed arr 16 total 25 remain 19 wait 21
At time 46 process 3 stopped arr 16 total 25 remain 16 wait 21
At time 46 process 4 resumed arr 17 total 22 remain 16 wait 23
At time 49 process 4 stopped arr 17 total 22 remain 13 wait 23
At time 49 process 2 resumed arr 13 total 27 remain 15 wait 24
At time 52 process 2 stopped arr 13 total 27 remain 12 wait 24
At time 52 process 5 resumed arr 21 total 15 remain 9 wait 25
At time 55 process 5 stopped arr 21 total 15 remain 6 wait 25
At time 55 process 3 resumed arr 16 total 25 remain 16 wait 30
At time 58 process 3 stopped arr 16 total 25 remain 13 wait 30
At time 58 process 4 resumed arr 17 total 22 remain 13 wait 32
At time 61 process 4 stopped arr 17 total 22 remain 10 wait 32
At time 61 process 2 resumed arr 13 total 27 remain 12 wait 33
At time 64 process 2 stopped arr 13 total 27 remain 9 wait 33
At time 64 process 5 resumed arr 21 total 15 remain 6 wait 34
At time 67 process 5 stopped arr 21 total 15 remain 3 wait 34
At time 67 process 3 resumed arr 16 total 25 remain 13 wait 39
At time 70 process 3 stopped arr 16 total 25 remain 10 wait 39
At time 70 process 4 resumed arr 17 total 22 remain 10 wait 41
At time 73 process 4 stopped arr 17 total 22 remain 7 wait 41
At time 73 process 2 resumed arr 13 total 27 remain 9 wait 42
At time 76 process 2 stopped arr 13 total 27 remain 6 wait 42
At time 76 process 5 resumed arr 21 total 15 remain 3 wait 43
At time 79 process 5 finished arr 21 total 15 remain 0 wait 43 TA 58 WTA 3.87
At time 79 process 3 resumed arr 16 total 25 remain 10 wait 48
At time 82 process 3 stopped arr 16 total 25 remain 7 wait 48
At time 82 process 4 resumed arr 17 total 22 remain 7 wait 50
At time 85 process 4 stopped arr 17 total 22 remain 4 wait 50
At time 85 process 2 resumed arr 13 total 27 remain 6 wait 51
At time 88 process 2 stopped arr 13 total 27 remain 3 wait 51
At time 88 process 3 resumed arr 16 total 25 remain 7 wait 54
At time 91 process 3 stopped arr 16 total 25 remain 4 wait 54
At time 91 process 4 resumed arr 17 total 22 remain 4 wait 56
At time 94 process 4 stopped arr 17 total 22 remain 1 wait 56
At time 94 process 2 resumed arr 13 total 27 remain 3 wait 57
At time 97 process 2 finished arr 13 total 27 remain 0 wait 57 TA 84 WTA 3.11
At time 97 process 3 resumed arr 16 total 25 remain 4 wait 60
At time 100 process 3 stopped arr 16 total 25 remain 1 wait 60
At time 100 process 4 resumed arr 17 total 22 remain 1 wait 62
At time 101 process 4 finished arr 17 total 22 remain 0 wait 62 TA 84 WTA 3.82
At time 101 process 3 resumed arr 16 total 25 remain 1 wait 61
At time 102 process 3 finished arr 16 total 25 remain 0 wait 61 TA 86 WTA 3.44
